Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Werder Bremen,"CF, RWF, LWF",1.93,3.36,37.5,1.57,0.25,0.36,2.27,25.93,11.111,2.18,34.62,2.43,55.17,7.64,4.37,2.52,0.76,18.47,68.64,0.11,0.0,0.42,1.51,2.27,48.15,1.26,9.364110996489115,67.11,Germany 1.,94.29,49.795619999999985,6000000.0,60.571219714285704
West Bromwich Albion,CF,2.24,3.32,38.75,1.85,0.5,0.32,1.74,42.86,28.571,0.21,20.0,0.91,59.09,6.84,2.65,0.41,0.08,18.41,79.95,0.09,0.29,0.29,2.16,0.58,71.43,0.71,10.293263912575055,61.18,England 2.,71.43,55.58362067999999,7533333.333333333,66.62282019028571
West Bromwich Albion,"CF, LAMF",3.15,2.2800000000000002,29.895000000000003,1.995,0.185,0.26,2.075,37.415,10.9165,2.15,15.29,3.82,62.644999999999996,7.535,3.94,2.19,0.51,22.15,78.11,0.08,0.045,0.3,1.6549999999999998,1.425,42.435,0.76,11.440438994488012,53.85,England 2.,71.43,48.9241251,7533333.333333333,61.96117328428571
West Ham United,CF,3.26,6.023333333333333,35.00333333333333,2.5166666666666666,0.19000000000000003,0.21,1.4533333333333331,33.81,14.047666666666666,1.1033333333333333,42.223333333333336,2.03,64.16666666666667,8.040000000000001,2.6799999999999997,1.2433333333333334,0.22666666666666668,15.85,71.96,0.09999999999999999,0.09000000000000001,0.4066666666666667,1.68,1.38,26.096666666666664,0.7433333333333333,11.41964753555488,53.99,England 1.,100.0,40.060579999999995,33800000.0,43.04240599999999
West Ham United,"CF, LW, RAMF",4.45,1.77,18.18,1.66,0.16,0.29,2.26,31.43,7.143,3.22,42.0,7.09,59.55,20.46,3.9,3.13,0.61,27.71,85.12,0.16,0.0,0.52,1.35,2.35,57.53,0.52,15.572430968364976,27.48,England 1.,100.0,20.390159999999998,33800000.0,29.273111999999998
West Ham United,"CF, RW, RAMF",3.7,2.18,13.92,2.24,0.33,0.23,2.24,44.44,16.049,2.63,26.32,4.48,50.0,11.36,4.31,3.18,0.55,20.45,75.81,0.19,0.28,0.55,1.55,2.27,48.78,1.33,10.98153008414982,56.78,England 1.,100.0,42.13075999999999,33800000.0,44.49153199999999
Westerlo,CF,2.44,4.67,32.45,1.1,0.4,0.47,2.57,50.6,15.663,0.77,32.0,2.29,51.35,6.28,3.99,0.87,0.28,13.48,67.43,0.13,0.12,0.34,1.64,0.93,46.67,0.62,8.08922014017902,75.25,Belgium 1.,68.57,70.64786050000001,0.0,64.45350235000001
Wolfsburg,CF,2.25,5.64,51.43,1.71,0.48,0.53,2.74,41.18,17.647,1.13,14.29,2.25,78.57,10.63,3.22,0.97,0.0,16.42,69.61,0.04,0.16,0.16,0.81,1.77,27.27,0.48,12.797581294264036,45.19,Germany 1.,94.29,33.53097999999999,12400000.0,38.47168599999999
Wolfsburg,"CF, AMF",1.93,9.22,50.0,2.27,0.34,0.28,1.47,37.14,25.714,0.59,14.29,1.22,55.17,7.46,2.68,0.17,0.0,21.55,76.85,0.14,0.25,0.63,3.52,1.47,54.29,1.13,9.808394048799833,64.27,Germany 1.,94.29,47.68834,12400000.0,48.381837999999995
Wolfsburg,"CF, LW, LCMF",6.88,4.48,37.89,5.42,0.14,0.19,1.65,28.57,8.571,1.55,30.3,3.63,55.84,9.85,2.5,2.36,0.42,27.33,69.14,0.16,0.42,0.42,3.82,1.98,57.14,0.99,13.000261355868817,43.9,Germany 1.,94.29,32.57379999999999,12400000.0,37.80165999999999
Wolfsburg,"CF, LWF",3.93,2.87,34.52,2.76,0.27,0.34,2.5,35.62,13.699,1.54,22.22,3.32,50.52,6.23,3.87,2.53,0.79,24.8,71.86,0.12,0.27,0.58,1.44,2.29,43.28,1.3,9.104101941259165,68.77,Germany 1.,94.29,51.027339999999995,12400000.0,50.719137999999994
Wolfsburg,"CF, RW, LAMF",4.6,2.17,16.33,3.19,0.27,0.22,1.77,50.0,15.0,1.68,26.32,3.98,51.11,10.8,3.1,1.06,0.13,20.93,73.78,0.04,0.18,0.35,2.26,1.59,47.22,0.66,11.710539032497566,52.13,Germany 1.,94.29,38.68046,12400000.0,42.076322
Wolverhampton Wanderers,CF,2.91,5.63,35.8,2.03,0.45,0.33,1.6,68.0,28.0,0.42,15.38,0.74,47.83,6.69,3.14,0.51,0.0,13.31,71.15,0.07,0.03,0.32,0.8,0.35,36.36,0.35,9.072861897230448,68.97,England 1.,100.0,51.17574,21666666.666666668,50.823018
Wolverhampton Wanderers,"CF, RAMF, LWF",3.89,1.83,18.75,4.38,0.23,0.07,0.46,75.0,50.0,1.26,27.27,1.26,36.36,4.81,2.52,1.26,0.34,22.33,82.05,0.11,0.23,0.34,1.15,1.03,55.56,0.57,13.405709654080411,41.31,England 1.,100.0,30.65202,21666666.666666668,36.456413999999995
Wolverhampton Wanderers,"CF, RWF, AMF",4.49,1.39,33.33,2.04,0.15,0.2,1.94,32.0,8.0,2.32,23.33,2.87,45.95,8.6,2.71,2.63,0.77,24.71,75.24,0.08,0.08,0.54,2.01,2.87,56.76,1.16,11.360703106644683,54.36,England 1.,100.0,40.335119999999996,21666666.666666668,43.234584
